Customer,Lift Date,Net Gallons,Terminal,Product,Gross Gallons,Temp (F),API Gravity,Sell Price,Unit Cost
Snowbelt Fuel Oil,2025-04-23 06:12:00,231.63,Providence,ULSHO,229.68,47.9,35.03,2.6259,2.6029
Granite Oil Co,2025-04-23 07:52:00,134.32,Providence,RBOB,132.98,49.4,60.64,2.2264,2.2077
Hudson Distributors,2025-04-23 09:01:00,192.1,Albany,RBOB,191.06,54.2,60.28,2.2295,2.2077
Sterling Oil Co,2025-04-23 11:14:00,173.69,Linden,RBOB,172.96,55.6,59.93,2.2158,2.2077
Liberty Fuels,2025-04-23 13:46:00,192.29,Providence,RBOB,190.93,52.5,59.97,2.22,2.2077
Hearth Fuel Oil,2025-04-23 14:28:00,376.62,Providence,ULSD,374.65,52.5,35.46,2.5496,2.5337
Apex Commodities,2025-04-23 15:09:00,534.46,Linden,RBOB,527.39,45.9,60.17,2.221,2.2077
Atlantic Distributors,2025-04-23 15:31:00,149.59,Providence,RBOB,148.14,49.7,59.98,2.2193,2.2077
SNOWBELT OIL & PROPANE ,2025-04-24 12:51:00,271.44,Linden,ULSHO,270.44,54.7,35.57,2.5839,2.5777
Granite Oil Co,2025-04-25 09:23:00,214.33,Providence,RBOB,212.52,51.0,60.43,2.2732,2.2569
FuelExpress Retail,2025-04-25 12:02:00,74.56,Linden,RBOB,73.62,46.5,59.7,2.2599,2.2569
RoadKing Mart Inc,2025-04-25 13:11:00,68.31,Linden,ULSD,68.02,53.9,35.51,2.5318,2.5286
Colonial Distributors,2025-04-26 06:22:00,190.5,Providence,ULSD,189.5,52.4,35.74,2.6019,2.5919
Sterling Oil Co,2025-04-26 09:27:00,185.62,Linden,ULSD,184.53,51.6,36.2,2.5953,2.5919
  Sterling Distributors Dist,2025-04-26 10:04:00,164.7,Providence,ULSD,163.64,50.8,35.8,2.6058,2.5919
Hudson Distributors,2025-04-26 10:06:00,204.24,Albany,ULSD,202.99,51.2,35.64,2.6143,2.5919
Atlantic Distributors,2025-04-26 13:06:00,154.15,Providence,RBOB,152.95,51.7,60.07,2.3059,2.2899
QuickStop Stations,2025-04-26 13:17:00,108.65,Linden,RBOB,107.57,49.5,60.45,2.2929,2.2899
Keystone Distributors,2025-04-26 13:51:00,134.1,Providence,ULSD,133.26,51.0,36.22,2.6056,2.5919
Snowbelt Fuel Oil,2025-04-26 14:14:00,239.27,Providence,ULSHO,237.21,47.6,35.22,2.5774,2.5626
Spot Partners,2025-04-26 17:44:00,167.16,Albany,RBOB,165.48,49.3,60.72,2.319,2.2899
Snowbelt Oil & Propane,2025-04-27 12:46:00,336.23,Linden,ULSD,334.85,54.1,35.59,2.6144,2.6114
Liberty Fuels,2025-04-27 14:25:00,159.69,Providence,RBOB,158.18,49.9,59.66,2.3121,2.2948
PitStop Markets,2025-04-27 14:34:00,144.67,Albany,RBOB,144.49,58.7,59.53,2.3182,2.2948
Cardinal Oil & Propane,2025-04-27 16:15:00,179.92,Linden,ULSHO,178.85,51.5,35.35,2.6141,2.6111
Snowbelt Fuel Oil,2025-04-28 06:30:00,223.44,Providence,ULSHO,222.83,56.1,35.35,2.6203,2.6001
