Customer,Quote Time,Product,Quoted Price,Market At Quote,Inventory State,Capacity State,Competitor,Outcome,Mins To Decide,Final Gallons
C011,2025-04-23 07:54:00,ULSD,2.5631,2.56,balanced,tight,competitor_undercut,accept,63.6,7569.5
C003,2025-04-23 08:05:00,RBOB,2.2901,2.2437,balanced,tight,competitor_undercut,reject,89.1,
C009,2025-04-23 08:31:00,ULSHO,2.6049,2.6349,balanced,open,none,accept,157.3,6452.6
C001,2025-04-23 16:53:00,ULSD,2.5968,2.5476,short,balanced,none,accept,268.1,6306.5
C016,2025-04-24 08:18:00,ULSD,2.5817,2.5176,short,balanced,sole_supplier,reject,60.0,
C016,2025-04-24 10:45:00,ULSD,2.5083,2.5176,long,balanced,none,no_response,2529.2,
C010,2025-04-24 16:03:00,ULSHO,2.6436,2.5914,balanced,tight,sole_supplier,accept,142.0,7028.6
C010,2025-04-25 14:59:00,ULSHO,2.7069,2.6194,long,open,competitor_matched,reject,55.2,
C024,2025-04-26 07:25:00,ULSD,2.6622,2.604,long,tight,none,no_response,1098.3,
C008,2025-04-26 12:01:00,ULSD,2.5939,2.6181,balanced,tight,none,accept,104.5,5782.3
C006,2025-04-26 13:13:00,RBOB,2.3384,2.3214,short,balanced,sole_supplier,accept,127.4,7089.4
C009,2025-04-26 14:54:00,ULSHO,2.5861,2.5864,balanced,balanced,sole_supplier,accept,91.2,6609.5
C003,2025-04-27 07:11:00,RBOB,2.327,2.3333,balanced,tight,competitor_matched,accept,9.5,8090.0
C003,2025-04-27 07:48:00,RBOB,2.3179,2.3333,balanced,tight,competitor_matched,reject,3.0,
C004,2025-04-27 11:50:00,RBOB,2.2968,2.3269,short,balanced,sole_supplier,accept,91.2,6758.0
C007,2025-04-27 12:15:00,RBOB,2.3931,2.3269,long,open,sole_supplier,reject,130.3,
C007,2025-04-27 12:55:00,RBOB,2.2968,2.3269,short,tight,competitor_matched,accept,113.3,7536.5
C015,2025-04-27 14:29:00,ULSD,2.7491,2.6531,balanced,tight,competitor_matched,reject,178.5,
C010,2025-04-28 09:41:00,ULSHO,2.7161,2.6163,short,open,none,reject,3.0,
C024,2025-04-28 10:56:00,ULSD,2.6794,2.6086,long,open,sole_supplier,reject,118.9,
C011,2025-04-28 12:27:00,ULSD,2.7212,2.6145,balanced,open,competitor_undercut,reject,104.1,
C010,2025-04-28 12:43:00,ULSD,2.665,2.6086,balanced,tight,competitor_matched,reject,116.8,
C008,2025-04-28 13:52:00,ULSD,2.6482,2.6145,short,open,sole_supplier,no_response,1561.0,
C013,2025-04-28 14:42:00,ULSHO,2.6021,2.6163,short,tight,competitor_undercut,accept,103.6,6761.7
C002,2025-04-29 08:50:00,ULSD,2.7326,2.6672,balanced,tight,competitor_matched,reject,83.1,
C023,2025-04-29 10:00:00,ULSD,2.7148,2.6876,balanced,open,none,reject,49.1,
C001,2025-04-29 12:15:00,RBOB,2.3199,2.3005,balanced,open,sole_supplier,reject,24.2,
C012,2025-04-29 14:08:00,ULSHO,2.5993,2.574,balanced,open,none,reject,35.9,
C011,2025-04-29 14:51:00,ULSD,2.7193,2.6672,short,balanced,sole_supplier,no_response,60.0,
C009,2025-04-29 14:57:00,ULSHO,2.6639,2.5839,short,tight,competitor_matched,reject,181.3,
C001,2025-04-30 07:11:00,ULSD,2.6929,2.6109,balanced,open,competitor_matched,reject,73.4,
C021,2025-05-01 10:18:00,RBOB,2.2858,2.1988,balanced,balanced,none,reject,3.0,
C007,2025-05-01 11:06:00,RBOB,2.1824,2.2092,balanced,tight,competitor_undercut,accept,135.1,7121.1
C023,2025-05-01 15:19:00,ULSD,2.7699,2.6791,balanced,open,none,no_response,986.1,
C008,2025-05-01 16:01:00,ULSD,2.7488,2.67,long,balanced,none,reject,67.5,
C023,2025-05-01 16:34:00,ULSD,2.7204,2.6791,balanced,tight,sole_supplier,reject,89.9,
C014,2025-05-02 08:55:00,RBOB,2.1996,2.2206,long,tight,sole_supplier,accept,113.6,13479.7
C024,2025-05-02 10:12:00,ULSD,2.6121,2.6259,balanced,tight,competitor_undercut,accept,129.7,5991.3
C003,2025-05-02 11:31:00,ULSD,2.6167,2.6489,long,open,sole_supplier,accept,152.1,8156.7
C009,2025-05-02 12:45:00,ULSHO,2.5863,2.517,long,balanced,competitor_undercut,reject,46.7,
C005,2025-05-02 13:04:00,ULSD,2.6121,2.6316,balanced,tight,competitor_undercut,accept,103.6,6827.8
C012,2025-05-02 15:22:00,ULSHO,2.5498,2.5048,balanced,open,competitor_undercut,reject,111.8,
C022,2025-05-02 16:20:00,RBOB,2.2583,2.2178,long,tight,competitor_undercut,reject,121.9,
C007,2025-05-03 08:00:00,ULSD,2.5404,2.526,long,open,sole_supplier,reject,126.7,
C021,2025-05-03 08:52:00,RBOB,2.3011,2.2193,short,balanced,competitor_undercut,reject,128.3,
C017,2025-05-03 10:24:00,RBOB,2.2926,2.2193,balanced,balanced,none,reject,58.0,
C007,2025-05-03 12:20:00,ULSD,2.5278,2.526,balanced,balanced,none,reject,105.6,
C008,2025-05-03 12:34:00,ULSD,2.5999,2.526,balanced,open,competitor_undercut,reject,74.4,
C021,2025-05-03 13:39:00,RBOB,2.2669,2.2193,long,tight,competitor_matched,reject,3.0,
C003,2025-05-03 13:40:00,ULSD,2.5904,2.5337,long,open,competitor_matched,accept,87.4,7196.6
C022,2025-05-03 14:00:00,RBOB,2.2798,2.2193,balanced,balanced,none,accept,177.5,3099.2
C005,2025-05-03 15:57:00,ULSD,2.502,2.526,balanced,balanced,sole_supplier,accept,47.2,8271.4
C022,2025-05-04 11:12:00,RBOB,2.239,2.2171,balanced,tight,none,reject,141.8,
C008,2025-05-04 11:21:00,ULSD,2.5883,2.6153,long,open,competitor_undercut,accept,71.8,5962.1
C008,2025-05-04 13:10:00,ULSD,2.6269,2.6153,long,open,competitor_undercut,accept,153.2,6407.4
C006,2025-05-04 13:55:00,RBOB,2.2352,2.2309,balanced,balanced,competitor_undercut,accept,115.7,7571.1
C015,2025-05-04 15:30:00,RBOB,2.3204,2.2434,short,tight,none,no_response,2057.9,
C020,2025-05-04 16:25:00,ULSD,2.7032,2.6153,balanced,open,sole_supplier,reject,179.0,
C024,2025-05-04 16:56:00,ULSD,2.5883,2.5989,long,tight,competitor_undercut,accept,162.9,5308.5
